Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331011-event_pair28,26331011-event.csv,28,2,"[0.9458219178082192, 0.9525342465753425]",0.9491780821917808,0.9458219178082192,0.9525342465753424,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair308,26331011-event.csv,308,8,"[0.8960958904109589, 0.898972602739726, 0.8997945205479452, 0.9011643835616439, 0.9052739726027397, 0.9307534246575343, 0.9345890410958904, 0.9358219178082192]",0.9128082191780822,0.8960958904109589,0.9358219178082192,7300.0,IgG,0.516,0.129,0.656
26331011-event_pair171,26331011-event.csv,171,2,"[0.9493835616438356, 0.9503424657534246]",0.94986301369863,0.9493835616438356,0.9503424657534246,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair65,26331011-event.csv,65,2,"[0.9463698630136986, 0.9514383561643835]",0.9489041095890411,0.9463698630136986,0.9514383561643835,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair229,26331011-event.csv,229,2,"[0.9496575342465754, 0.9504794520547946]",0.950068493150685,0.9496575342465754,0.9504794520547946,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair329,26331011-event.csv,329,4,"[0.9436301369863014, 0.9444520547945205, 0.9491095890410959, 0.9503424657534246]",0.9468835616438356,0.9436301369863014,0.9503424657534246,7300.0,apo-Tf,0.475,0.475,0.915
26331011-event_pair257,26331011-event.csv,257,3,"[0.933082191780822, 0.9343150684931507, 0.9377397260273973]",0.9350456621004568,0.933082191780822,0.9377397260273972,7300.0,IgG,0.533,0.533,0.935
26331011-event_pair265,26331011-event.csv,265,3,"[0.8922602739726028, 0.8934931506849315, 0.8943150684931507]",0.8933561643835617,0.8922602739726028,0.8943150684931507,7300.0,apo-Tf,0.533,0.533,0.935
26331011-event_pair207,26331011-event.csv,207,2,"[0.9486986301369863, 0.9536301369863014]",0.951164383561644,0.9486986301369864,0.9536301369863014,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair9,26331011-event.csv,9,15,"[0.8995205479452055, 0.9003424657534247, 0.9011643835616439, 0.9023972602739726, 0.9028082191780822, 0.9033561643835616, 0.9037671232876713, 0.9041780821917809, 0.9045890410958904, 0.9074657534246575, 0.9103424657534247, 0.9107534246575343, 0.9111643835616439, 0.9145890410958905, 0.9154109589041096]",0.906123287671233,0.8995205479452055,0.9154109589041096,7300.0,IgG,0.417,0.417,0.889
26331011-event_pair25,26331011-event.csv,25,3,"[0.9462328767123288, 0.947054794520548, 0.955]",0.9494292237442924,0.9462328767123288,0.955,7300.0,apo-Tf,0.533,0.533,0.935
26331011-event_pair317,26331011-event.csv,317,2,"[0.8960958904109589, 0.8999315068493151]",0.898013698630137,0.8960958904109589,0.8999315068493151,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair188,26331011-event.csv,188,2,"[0.9456849315068493, 0.9495205479452055]",0.9476027397260274,0.9456849315068492,0.9495205479452056,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair7,26331011-event.csv,7,15,"[0.9358219178082192, 0.9378767123287671, 0.9382876712328767, 0.9386986301369863, 0.9391095890410959, 0.940068493150685, 0.9404794520547946, 0.9408904109589041, 0.9413013698630137, 0.9417123287671233, 0.942945205479452, 0.9437671232876712, 0.9445890410958904, 0.9508904109589041, 0.9517123287671233]",0.941876712328767,0.9358219178082192,0.9517123287671232,7300.0,apo-Tf,0.387,0.387,0.874
26331011-event_pair67,26331011-event.csv,67,2,"[0.9447260273972603, 0.9497945205479452]",0.9472602739726028,0.9447260273972604,0.9497945205479452,7300.0,apo-Tf,0.65,0.65,0.963
26331011-event_pair44,26331011-event.csv,44,2,"[0.945, 0.950068493150685]",0.9475342465753424,0.945,0.950068493150685,7300.0,apo-Tf,0.65,0.65,0.963
