Event,Num_Peaks,Peak_Positions,IgG_Similarity,apo-Tf_Similarity,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331012-1Events_pair221,3,"[0.9537671232876712, 0.9547260273972603, 0.9643150684931507]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair222,3,"[0.9551369863013699, 0.9559589041095891, 0.9608904109589042]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair223,2,"[0.9567808219178082, 0.9600684931506849]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair224,2,"[0.9563698630136986, 0.9676027397260274]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair226,3,"[0.9588356164383561, 0.9596575342465753, 0.9604794520547946]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair227,4,"[0.9551369863013699, 0.9576027397260274, 0.9584246575342465, 0.9663698630136986]",0.475,0.0,IgG,0.475,0.475,0.915
26331012-1Events_pair228,6,"[0.9374657534246575, 0.9417123287671233, 0.948013698630137, 0.9504794520547946, 0.9517123287671233, 0.9659589041095891]",0.0,0.417,apo-Tf,0.417,0.417,0.889
26331012-1Events_pair229,2,"[0.9547260273972603, 0.9596575342465753]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair230,4,"[0.9521232876712329, 0.9537671232876712, 0.9547260273972603, 0.968013698630137]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair231,6,"[0.9484246575342465, 0.9504794520547946, 0.952945205479452, 0.9543150684931507, 0.9596575342465753, 0.963904109589041]",0.417,0.417,IgG,0.417,0.0,0.5
26331012-1Events_pair232,15,"[0.7021232876712329, 0.7043150684931507, 0.7051369863013699, 0.7084246575342465, 0.7330821917808219, 0.7347260273972602, 0.7799315068493151, 0.7815753424657534, 0.7840410958904109, 0.9525342465753425, 0.9533561643835616, 0.9543150684931507, 0.9559589041095891, 0.9576027397260274, 0.9584246575342465]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair233,4,"[0.9543150684931507, 0.9555479452054795, 0.9576027397260274, 0.9584246575342465]",0.475,0.0,IgG,0.475,0.475,0.915
26331012-1Events_pair234,2,"[0.9559589041095891, 0.9608904109589042]",0.65,0.0,IgG,0.65,0.65,0.963
