Event,Num_Peaks,Peak_Positions,IgG_Similarity,apo-Tf_Similarity,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331012-1Events_pair92,2,"[0.9559589041095891, 0.9608904109589042]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair93,3,"[0.9504794520547946, 0.9559589041095891, 0.9567808219178082]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair95,2,"[0.9547260273972603, 0.9576027397260274]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair96,2,"[0.9543150684931507, 0.958013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair97,15,"[0.8008904109589041, 0.8033561643835616, 0.8058219178082192, 0.8074657534246575, 0.8476027397260274, 0.8484246575342466, 0.8514383561643836, 0.9488356164383561, 0.9496575342465754, 0.9504794520547946, 0.9525342465753425, 0.9567808219178082, 0.9576027397260274, 0.9592465753424657, 0.9643150684931507]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair98,4,"[0.9374657534246575, 0.9413013698630137, 0.9504794520547946, 0.9517123287671233]",0.0,0.475,apo-Tf,0.475,0.475,0.915
26331012-1Events_pair100,2,"[0.950068493150685, 0.9555479452054795]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair101,2,"[0.952945205479452, 0.9563698630136986]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair102,9,"[0.9274657534246575, 0.9304794520547945, 0.9345890410958904, 0.9362328767123288, 0.9404794520547946, 0.9413013698630137, 0.9445890410958904, 0.9567808219178082, 0.9576027397260274]",0.528,0.387,IgG,0.528,0.141,0.669
26331012-1Events_pair103,10,"[0.9313013698630137, 0.9374657534246575, 0.9388356164383561, 0.9408904109589041, 0.9441780821917808, 0.9463698630136986, 0.9543150684931507, 0.9551369863013699, 0.9563698630136986, 0.9571917808219178]",0.49,0.387,IgG,0.49,0.102,0.625
26331012-1Events_pair104,2,"[0.9404794520547946, 0.9547260273972603]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair105,3,"[0.9525342465753425, 0.9588356164383561, 0.9617123287671233]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair106,3,"[0.9513013698630137, 0.9521232876712329, 0.952945205479452]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair107,2,"[0.9533561643835616, 0.9643150684931507]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair112,2,"[0.9576027397260274, 0.9584246575342465]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair113,2,"[0.950068493150685, 0.9588356164383561]",0.65,0.65,IgG,0.65,0.0,0.5
26331012-1Events_pair114,3,"[0.9445890410958904, 0.9521232876712329, 0.9551369863013699]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair116,2,"[0.9476027397260274, 0.9537671232876712]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair122,8,"[0.9362328767123288, 0.9374657534246575, 0.9417123287671233, 0.9437671232876712, 0.945, 0.9467808219178082, 0.9492465753424657, 0.9533561643835616]",0.0,0.387,apo-Tf,0.387,0.387,0.874
26331012-1Events_pair124,2,"[0.9458219178082192, 0.9476027397260274]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair125,5,"[0.815, 0.8171917808219178, 0.818013698630137, 0.8204794520547946, 0.9458219178082192]",0.0,0.44,apo-Tf,0.44,0.44,0.9
26331012-1Events_pair131,2,"[0.9488356164383561, 0.9496575342465754]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair132,2,"[0.8539041095890411, 0.901986301369863]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair135,3,"[0.948013698630137, 0.9492465753424657, 0.9604794520547946]",0.533,0.533,IgG,0.533,0.0,0.5
26331012-1Events_pair137,4,"[0.9467808219178082, 0.9484246575342465, 0.9508904109589041, 0.9517123287671233]",0.0,0.475,apo-Tf,0.475,0.475,0.915
26331012-1Events_pair138,2,"[0.9488356164383561, 0.950068493150685]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair143,2,"[0.9476027397260274, 0.9484246575342465]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair149,2,"[0.9492465753424657, 0.9508904109589041]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair151,2,"[0.948013698630137, 0.9488356164383561]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair153,2,"[0.9492465753424657, 0.950068493150685]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair154,6,"[0.935, 0.9366438356164384, 0.9392465753424658, 0.9454109589041096, 0.9496575342465754, 0.9508904109589041]",0.0,0.417,apo-Tf,0.417,0.417,0.889
26331012-1Events_pair158,7,"[0.9282876712328767, 0.9291095890410959, 0.930068493150685, 0.9313013698630137, 0.9321232876712329, 0.935, 0.9358219178082192]",0.417,0.0,IgG,0.417,0.417,0.889
26331012-1Events_pair159,7,"[0.9003424657534247, 0.9011643835616439, 0.9028082191780822, 0.9182876712328767, 0.9191095890410959, 0.9221232876712329, 0.9233561643835616]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair160,13,"[0.8092465753424658, 0.8145890410958904, 0.8176027397260274, 0.8267808219178082, 0.8284246575342465, 0.8292465753424657, 0.8304794520547946, 0.8497945205479452, 0.8506164383561644, 0.8539041095890411, 0.8551369863013699, 0.8573287671232876, 0.8581506849315068]",0.507,0.0,IgG,0.507,0.507,0.927
26331012-1Events_pair161,5,"[0.851027397260274, 0.8522602739726027, 0.8547260273972602, 0.858972602739726, 0.8606164383561644]",0.44,0.0,IgG,0.44,0.44,0.9
26331012-1Events_pair162,15,"[0.8506164383561644, 0.8522602739726027, 0.8539041095890411, 0.9111643835616439, 0.9128082191780822, 0.9203424657534247, 0.9262328767123288, 0.927054794520548, 0.9286986301369863, 0.9525342465753425, 0.9537671232876712, 0.9563698630136986, 0.9584246575342465, 0.9592465753424657, 0.9617123287671233]",0.623,0.0,IgG,0.623,0.623,0.958
26331012-1Events_pair163,14,"[0.8188356164383561, 0.820068493150685, 0.8225342465753425, 0.8237671232876712, 0.8245890410958904, 0.9221232876712329, 0.9241780821917808, 0.9262328767123288, 0.927054794520548, 0.9308904109589041, 0.9321232876712329, 0.9333561643835616, 0.9358219178082192, 0.9396575342465754]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair165,5,"[0.9458219178082192, 0.9471917808219178, 0.9488356164383561, 0.9543150684931507, 0.9621232876712329]",0.44,0.44,IgG,0.44,0.0,0.5
26331012-1Events_pair166,3,"[0.948013698630137, 0.9643150684931507, 0.9663698630136986]",0.533,0.533,IgG,0.533,0.0,0.5
26331012-1Events_pair167,8,"[0.9378767123287671, 0.9392465753424658, 0.940068493150685, 0.948013698630137, 0.9504794520547946, 0.9513013698630137, 0.9547260273972603, 0.9604794520547946]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair168,7,"[0.8567808219178082, 0.8606164383561644, 0.8639041095890411, 0.8665068493150685, 0.8681506849315068, 0.8722602739726028, 0.874041095890411]",0.417,0.4,IgG,0.417,0.017,0.521
26331012-1Events_pair169,12,"[0.8877397260273973, 0.8893835616438356, 0.8911643835616438, 0.891986301369863, 0.8952739726027398, 0.8960958904109589, 0.8969178082191781, 0.9458219178082192, 0.9592465753424657, 0.9634931506849315, 0.9647260273972603, 0.9667808219178082]",0.417,0.442,apo-Tf,0.442,0.025,0.532
