Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak
26516008Events_pair1,26516008Events.csv,1,3,"[0.5706521739130435, 0.5758695652173913, 0.586304347826087]",0.577608696,0.570652174,0.586304348
26516008Events_pair2,26516008Events.csv,2,1,[0.5971739130434782],0.597173913,0.597173913,0.597173913
26516008Events_pair3,26516008Events.csv,3,1,[0.5945652173913043],0.594565217,0.594565217,0.594565217
26516008Events_pair4,26516008Events.csv,4,1,[0.9710869565217392],0.971086957,0.971086957,0.971086957
26516008Events_pair5,26516008Events.csv,5,1,[0.6076086956521739],0.607608696,0.607608696,0.607608696
26516008Events_pair6,26516008Events.csv,6,2,"[0.586304347826087, 0.5919565217391304]",0.589130435,0.586304348,0.591956522
26516008Events_pair7,26516008Events.csv,7,1,[0.5519565217391305],0.551956522,0.551956522,0.551956522
26516008Events_pair8,26516008Events.csv,8,1,[0.6184782608695653],0.618478261,0.618478261,0.618478261
26516008Events_pair9,26516008Events.csv,9,1,[0.5332608695652173],0.53326087,0.53326087,0.53326087
26516008Events_pair10,26516008Events.csv,10,1,[0.5971739130434782],0.597173913,0.597173913,0.597173913
26516008Events_pair11,26516008Events.csv,11,1,[0.5836956521739131],0.583695652,0.583695652,0.583695652
26516008Events_pair12,26516008Events.csv,12,1,[0.5945652173913043],0.594565217,0.594565217,0.594565217
26516008Events_pair13,26516008Events.csv,13,1,[0.5945652173913043],0.594565217,0.594565217,0.594565217
26516008Events_pair14,26516008Events.csv,14,1,[0.5971739130434782],0.597173913,0.597173913,0.597173913
26516008Events_pair15,26516008Events.csv,15,2,"[0.5093478260869565, 0.5971739130434782]",0.55326087,0.509347826,0.597173913
26516008Events_pair16,26516008Events.csv,16,2,"[0.4006521739130435, 0.5810869565217391]",0.490869565,0.400652174,0.581086957
26516008Events_pair17,26516008Events.csv,17,1,[0.5919565217391304],0.591956522,0.591956522,0.591956522
26516008Events_pair18,26516008Events.csv,18,1,[0.5889130434782609],0.588913043,0.588913043,0.588913043
26516008Events_pair19,26516008Events.csv,19,2,"[0.5758695652173913, 0.5919565217391304]",0.583913043,0.575869565,0.591956522
26516008Events_pair20,26516008Events.csv,20,2,"[0.5680434782608695, 0.5784782608695652]",0.57326087,0.568043478,0.578478261
26516008Events_pair21,26516008Events.csv,21,1,[0.5945652173913043],0.594565217,0.594565217,0.594565217
26516008Events_pair22,26516008Events.csv,22,1,[0.5945652173913043],0.594565217,0.594565217,0.594565217
26516008Events_pair23,26516008Events.csv,23,2,"[0.5784782608695652, 0.605]",0.59173913,0.578478261,0.605
26516008Events_pair24,26516008Events.csv,24,2,"[0.5971739130434782, 0.6023913043478261]",0.599782609,0.597173913,0.602391304
26516008Events_pair25,26516008Events.csv,25,3,"[0.4245652173913044, 0.5093478260869565, 0.5971739130434782]",0.510362319,0.424565217,0.597173913
26516008Events_pair26,26516008Events.csv,26,1,[0.9767391304347826],0.97673913,0.97673913,0.97673913
26516008Events_pair27,26516008Events.csv,27,1,[0.9710869565217392],0.971086957,0.971086957,0.971086957
26516008Events_pair28,26516008Events.csv,28,1,[0.5732608695652174],0.57326087,0.57326087,0.57326087
26516008Events_pair29,26516008Events.csv,29,2,"[0.5836956521739131, 0.5945652173913043]",0.589130435,0.583695652,0.594565217
26516008Events_pair30,26516008Events.csv,30,1,[0.9710869565217392],0.971086957,0.971086957,0.971086957
26516008Events_pair31,26516008Events.csv,31,1,[0.5945652173913043],0.594565217,0.594565217,0.594565217
26516008Events_pair32,26516008Events.csv,32,2,"[0.42195652173913045, 0.5945652173913043]",0.50826087,0.421956522,0.594565217
26516008Events_pair33,26516008Events.csv,33,1,[0.5758695652173913],0.575869565,0.575869565,0.575869565
26516008Events_pair34,26516008Events.csv,34,1,[0.6128260869565217],0.612826087,0.612826087,0.612826087
26516008Events_pair35,26516008Events.csv,35,1,[0.9710869565217392],0.971086957,0.971086957,0.971086957
26516008Events_pair36,26516008Events.csv,36,2,"[0.5228260869565218, 0.5971739130434782]",0.56,0.522826087,0.597173913
