Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak
26516014Events-2_pair273,26516014Events-2.csv,273,1,[0.8944897959183673],0.894489796,0.894489796,0.894489796
26516014Events-2_pair274,26516014Events-2.csv,274,2,"[0.29897959183673467, 0.9018367346938776]",0.600408163,0.298979592,0.901836735
26516014Events-2_pair275,26516014Events-2.csv,275,1,[0.8793877551020408],0.879387755,0.879387755,0.879387755
26516014Events-2_pair276,26516014Events-2.csv,276,1,[0.9091836734693878],0.909183673,0.909183673,0.909183673
26516014Events-2_pair277,26516014Events-2.csv,277,1,[0.906734693877551],0.906734694,0.906734694,0.906734694
26516014Events-2_pair278,26516014Events-2.csv,278,1,[0.906734693877551],0.906734694,0.906734694,0.906734694
26516014Events-2_pair279,26516014Events-2.csv,279,3,"[0.4957142857142857, 0.5006122448979592, 0.513265306122449]",0.503197279,0.495714286,0.513265306
26516014Events-2_pair280,26516014Events-2.csv,280,3,"[0.43857142857142856, 0.44346938775510203, 0.6328571428571429]",0.504965986,0.438571429,0.632857143
26516014Events-2_pair281,26516014Events-2.csv,281,0,[],,,
26516014Events-2_pair282,26516014Events-2.csv,282,1,[1.1610204081632653],1.161020408,1.161020408,1.161020408
26516014Events-2_pair283,26516014Events-2.csv,283,1,[1.1781632653061225],1.178163265,1.178163265,1.178163265
26516014Events-2_pair284,26516014Events-2.csv,284,5,"[0.48836734693877554, 0.49326530612244895, 0.5006122448979592, 0.5059183673469387, 1.0512244897959184]",0.607877551,0.488367347,1.05122449
26516014Events-2_pair285,26516014Events-2.csv,285,1,[0.6426530612244898],0.642653061,0.642653061,0.642653061
26516014Events-2_pair286,26516014Events-2.csv,286,7,"[0.5059183673469387, 0.5953061224489796, 0.6602040816326531, 0.6651020408163265, 0.6753061224489796, 0.6851020408163265, 0.69]",0.639562682,0.505918367,0.69
26516014Events-2_pair287,26516014Events-2.csv,287,0,[],,,
26516014Events-2_pair288,26516014Events-2.csv,288,1,[0.7671428571428571],0.767142857,0.767142857,0.767142857
26516014Events-2_pair289,26516014Events-2.csv,289,0,[],,,
26516014Events-2_pair290,26516014Events-2.csv,290,1,[0.5855102040816327],0.585510204,0.585510204,0.585510204
26516014Events-2_pair291,26516014Events-2.csv,291,2,"[0.6104081632653061, 0.759795918367347]",0.685102041,0.610408163,0.759795918
26516014Events-2_pair292,26516014Events-2.csv,292,2,"[0.5781632653061225, 0.5855102040816327]",0.581836735,0.578163265,0.585510204
26516014Events-2_pair293,26516014Events-2.csv,293,1,[0.6553061224489796],0.655306122,0.655306122,0.655306122
26516014Events-2_pair294,26516014Events-2.csv,294,0,[],,,
26516014Events-2_pair295,26516014Events-2.csv,295,5,"[0.40346938775510205, 0.4136734693877551, 0.42346938775510207, 0.4757142857142857, 0.4806122448979592]",0.439387755,0.403469388,0.480612245
26516014Events-2_pair296,26516014Events-2.csv,296,1,[0.7646938775510204],0.764693878,0.764693878,0.764693878
26516014Events-2_pair297,26516014Events-2.csv,297,2,"[0.4585714285714286, 0.75]",0.604285714,0.458571429,0.75
26516014Events-2_pair298,26516014Events-2.csv,298,1,[0.6475510204081633],0.64755102,0.64755102,0.64755102
26516014Events-2_pair299,26516014Events-2.csv,299,1,[0.453265306122449],0.453265306,0.453265306,0.453265306
26516014Events-2_pair300,26516014Events-2.csv,300,0,[],,,
26516014Events-2_pair301,26516014Events-2.csv,301,1,[0.6402040816326531],0.640204082,0.640204082,0.640204082
26516014Events-2_pair302,26516014Events-2.csv,302,0,[],,,
26516014Events-2_pair303,26516014Events-2.csv,303,0,[],,,
26516014Events-2_pair304,26516014Events-2.csv,304,0,[],,,
26516014Events-2_pair305,26516014Events-2.csv,305,0,[],,,
26516014Events-2_pair306,26516014Events-2.csv,306,2,"[0.4957142857142857, 0.5006122448979592]",0.498163265,0.495714286,0.500612245
26516014Events-2_pair307,26516014Events-2.csv,307,1,[0.7124489795918367],0.71244898,0.71244898,0.71244898
26516014Events-2_pair308,26516014Events-2.csv,308,1,[0.4210204081632653],0.421020408,0.421020408,0.421020408
26516014Events-2_pair309,26516014Events-2.csv,309,1,[0.5455102040816326],0.545510204,0.545510204,0.545510204
26516014Events-2_pair310,26516014Events-2.csv,310,2,"[0.5557142857142857, 0.71]",0.632857143,0.555714286,0.71
26516014Events-2_pair311,26516014Events-2.csv,311,0,[],,,
26516014Events-2_pair312,26516014Events-2.csv,312,1,[0.6055102040816327],0.605510204,0.605510204,0.605510204
26516014Events-2_pair313,26516014Events-2.csv,313,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair314,26516014Events-2.csv,314,1,[0.9716326530612245],0.971632653,0.971632653,0.971632653
26516014Events-2_pair315,26516014Events-2.csv,315,1,[0.9740816326530612],0.974081633,0.974081633,0.974081633
26516014Events-2_pair316,26516014Events-2.csv,316,1,[0.4585714285714286],0.458571429,0.458571429,0.458571429
26516014Events-2_pair317,26516014Events-2.csv,317,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair318,26516014Events-2.csv,318,1,[0.9589795918367346],0.958979592,0.958979592,0.958979592
26516014Events-2_pair319,26516014Events-2.csv,319,3,"[0.44346938775510203, 0.4585714285714286, 0.46591836734693876]",0.455986395,0.443469388,0.465918367
26516014Events-2_pair320,26516014Events-2.csv,320,1,[0.5206122448979592],0.520612245,0.520612245,0.520612245
26516014Events-2_pair321,26516014Events-2.csv,321,2,"[0.40591836734693876, 0.6802040816326531]",0.543061224,0.405918367,0.680204082
26516014Events-2_pair322,26516014Events-2.csv,322,1,[0.37612244897959185],0.376122449,0.376122449,0.376122449
26516014Events-2_pair323,26516014Events-2.csv,323,1,[0.6826530612244898],0.682653061,0.682653061,0.682653061
26516014Events-2_pair324,26516014Events-2.csv,324,1,[0.38877551020408163],0.38877551,0.38877551,0.38877551
26516014Events-2_pair325,26516014Events-2.csv,325,1,[0.3585714285714286],0.358571429,0.358571429,0.358571429
26516014Events-2_pair326,26516014Events-2.csv,326,1,[0.8969387755102041],0.896938776,0.896938776,0.896938776
26516014Events-2_pair327,26516014Events-2.csv,327,1,[0.976530612244898],0.976530612,0.976530612,0.976530612
26516014Events-2_pair328,26516014Events-2.csv,328,1,[0.6577551020408163],0.657755102,0.657755102,0.657755102
26516014Events-2_pair329,26516014Events-2.csv,329,3,"[0.45571428571428574, 0.5904081632653061, 0.976530612244898]",0.674217687,0.455714286,0.976530612
26516014Events-2_pair330,26516014Events-2.csv,330,4,"[0.5781632653061225, 0.5953061224489796, 0.6353061224489795, 0.6402040816326531]",0.612244898,0.578163265,0.640204082
26516014Events-2_pair331,26516014Events-2.csv,331,1,[0.4757142857142857],0.475714286,0.475714286,0.475714286
26516014Events-2_pair332,26516014Events-2.csv,332,3,"[0.44346938775510203, 0.45571428571428574, 0.46591836734693876]",0.455034014,0.443469388,0.465918367
26516014Events-2_pair333,26516014Events-2.csv,333,2,"[0.47816326530612246, 0.6875510204081633]",0.582857143,0.478163265,0.68755102
26516014Events-2_pair334,26516014Events-2.csv,334,5,"[0.4585714285714286, 0.4683673469387755, 0.5606122448979591, 0.5655102040816327, 0.5753061224489796]",0.525673469,0.458571429,0.575306122
26516014Events-2_pair335,26516014Events-2.csv,335,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair336,26516014Events-2.csv,336,1,[0.3663265306122449],0.366326531,0.366326531,0.366326531
26516014Events-2_pair337,26516014Events-2.csv,337,1,[0.9691836734693877],0.969183673,0.969183673,0.969183673
26516014Events-2_pair338,26516014Events-2.csv,338,1,[0.49081632653061225],0.490816327,0.490816327,0.490816327
26516014Events-2_pair339,26516014Events-2.csv,339,1,[0.4283673469387755],0.428367347,0.428367347,0.428367347
26516014Events-2_pair340,26516014Events-2.csv,340,2,"[0.6451020408163265, 0.6504081632653061]",0.647755102,0.645102041,0.650408163
26516014Events-2_pair341,26516014Events-2.csv,341,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair342,26516014Events-2.csv,342,0,[],,,
26516014Events-2_pair343,26516014Events-2.csv,343,2,"[0.43612244897959185, 0.600204081632653]",0.518163265,0.436122449,0.600204082
26516014Events-2_pair344,26516014Events-2.csv,344,2,"[0.4806122448979592, 0.9740816326530612]",0.727346939,0.480612245,0.974081633
26516014Events-2_pair345,26516014Events-2.csv,345,1,[0.9716326530612245],0.971632653,0.971632653,0.971632653
26516014Events-2_pair346,26516014Events-2.csv,346,1,[0.9740816326530612],0.974081633,0.974081633,0.974081633
26516014Events-2_pair347,26516014Events-2.csv,347,1,[0.5381632653061225],0.538163265,0.538163265,0.538163265
26516014Events-2_pair348,26516014Events-2.csv,348,1,[0.5006122448979592],0.500612245,0.500612245,0.500612245
26516014Events-2_pair349,26516014Events-2.csv,349,1,[0.40346938775510205],0.403469388,0.403469388,0.403469388
26516014Events-2_pair350,26516014Events-2.csv,350,4,"[0.4185714285714286, 0.4283673469387755, 0.700204081632653, 0.71]",0.564285714,0.418571429,0.71
26516014Events-2_pair351,26516014Events-2.csv,351,3,"[0.5255102040816326, 0.7324489795918367, 0.9789795918367347]",0.745646259,0.525510204,0.978979592
26516014Events-2_pair352,26516014Events-2.csv,352,3,"[0.453265306122449, 0.5255102040816326, 0.6553061224489796]",0.544693878,0.453265306,0.655306122
26516014Events-2_pair353,26516014Events-2.csv,353,1,[0.6328571428571429],0.632857143,0.632857143,0.632857143
26516014Events-2_pair354,26516014Events-2.csv,354,0,[],,,
26516014Events-2_pair355,26516014Events-2.csv,355,4,"[0.40346938775510205, 0.5206122448979592, 0.5332653061224489, 0.5406122448979592]",0.499489796,0.403469388,0.540612245
26516014Events-2_pair356,26516014Events-2.csv,356,1,[0.6402040816326531],0.640204082,0.640204082,0.640204082
26516014Events-2_pair357,26516014Events-2.csv,357,1,[0.5308163265306123],0.530816327,0.530816327,0.530816327
26516014Events-2_pair358,26516014Events-2.csv,358,4,"[0.5108163265306123, 0.5157142857142857, 0.5704081632653061, 0.5753061224489796]",0.543061224,0.510816327,0.575306122
26516014Events-2_pair359,26516014Events-2.csv,359,1,[0.6251020408163265],0.625102041,0.625102041,0.625102041
26516014Events-2_pair360,26516014Events-2.csv,360,1,[0.6504081632653061],0.650408163,0.650408163,0.650408163
26516014Events-2_pair361,26516014Events-2.csv,361,1,[0.6504081632653061],0.650408163,0.650408163,0.650408163
26516014Events-2_pair362,26516014Events-2.csv,362,1,[0.6553061224489796],0.655306122,0.655306122,0.655306122
