Cluster,Event_ID
2,1-0-100-1Events-71_pair2
2,1-0-100-1Events-71_pair3
2,1-0-100-1Events-71_pair4
2,1-0-100-1Events-71_pair5
2,1-0-100-1Events-71_pair6
2,1-0-100-1Events-71_pair7
2,1-0-100-1Events-71_pair9
2,1-0-100-1Events-71_pair10
2,1-0-100-1Events-71_pair11
2,1-0-100-1Events-71_pair12
2,1-0-100-1Events-71_pair13
2,1-0-100-1Events-71_pair14
2,1-0-100-1Events-71_pair15
2,1-0-100-1Events-71_pair27
2,1-0-100-1Events-71_pair30
2,1-0-100-1Events-71_pair31
2,1-0-100-1Events-71_pair32
2,1-0-100-1Events-71_pair33
2,1-0-100-1Events-71_pair34
2,1-0-100-1Events-71_pair35
2,1-0-100-1Events-71_pair36
2,1-0-100-1Events-71_pair37
2,1-0-100-1Events-71_pair38
2,1-0-100-1Events-71_pair39
2,1-0-100-1Events-71_pair40
2,1-0-100-1Events-71_pair41
2,1-0-100-1Events-71_pair42
2,1-0-100-1Events-71_pair43
2,1-0-100-1Events-71_pair44
2,1-0-100-1Events-71_pair45
2,1-0-100-1Events-71_pair46
2,1-0-100-1Events-71_pair47
2,1-0-100-1Events-71_pair48
2,1-0-100-1Events-71_pair49
2,1-0-100-1Events-71_pair52
2,1-0-100-1Events-71_pair53
2,1-0-100-1Events-71_pair54
2,1-0-100-1Events-71_pair55
2,1-0-100-1Events-71_pair56
2,1-0-100-1Events-71_pair57
2,1-0-100-1Events-71_pair58
2,1-0-100-1Events-71_pair59
2,1-0-100-1Events-71_pair60
2,1-0-100-1Events-71_pair62
2,1-0-100-1Events-71_pair63
2,1-0-100-1Events-71_pair64
2,1-0-100-1Events-71_pair65
2,1-0-100-1Events-71_pair66
2,1-0-100-1Events-71_pair68
2,1-0-26416003Events-9.2min-101_pair8
2,1-0-26416003Events-9.2min-101_pair13
2,1-0-26416003Events-9.2min-101_pair20
2,1-0-26416003Events-9.2min-101_pair46
2,1-0-26416003Events-9.2min-101_pair53
2,1-0-26416003Events-9.2min-101_pair61
4,1-0-100-1Events-71_pair16
4,1-0-100-1Events-71_pair21
4,1-0-100-1Events-71_pair23
4,1-0-100-1Events-71_pair67
4,1-0-26416003Events-8.2min-106-event-38-85_pair31
4,1-0-26416003Events-8.2min-106-event-38-85_pair33
4,1-0-26416003Events-8.2min-106-event-38-85_pair67
4,1-0-26416003Events-8.2min-106-event-38-85_pair69
4,1-0-26416003Events-8.2min-106-event-38-85_pair79
4,1-0-26416003Events-8.2min-106-event-38-85_pair103
4,1-0-26416003Events-8.2min-106-event-38-85_pair106
4,1-0-26416003Events-8.2min-106-event-38-85_pair107
4,1-0-26416003Events-8.2min-106-event-38-85_pair119
4,1-0-26416003Events-9.2min-101_pair7
4,1-0-26416003Events-9.2min-101_pair29
4,1-0-26416003Events-9.2min-101_pair30
4,1-0-26416003Events-9.2min-101_pair35
4,1-0-26416003Events-9.2min-101_pair57
4,1-0-26416003Events-9.2min-101_pair58
1,1-0-100-1Events-71_pair17
1,1-0-100-1Events-71_pair22
1,1-0-100-1Events-71_pair28
1,1-0-100-1Events-71_pair29
1,1-0-100-1Events-71_pair50
1,1-0-100-1Events-71_pair51
1,1-0-100-1Events-71_pair71
1,1-0-26416003Events-8.2min-106-event-38-85_pair18
1,1-0-26416003Events-8.2min-106-event-38-85_pair20
1,1-0-26416003Events-8.2min-106-event-38-85_pair23
1,1-0-26416003Events-8.2min-106-event-38-85_pair35
1,1-0-26416003Events-8.2min-106-event-38-85_pair54
1,1-0-26416003Events-8.2min-106-event-38-85_pair56
1,1-0-26416003Events-8.2min-106-event-38-85_pair59
1,1-0-26416003Events-8.2min-106-event-38-85_pair71
1,1-0-26416003Events-8.2min-106-event-38-85_pair73
1,1-0-26416003Events-8.2min-106-event-38-85_pair74
1,1-0-26416003Events-8.2min-106-event-38-85_pair97
1,1-0-26416003Events-9.2min-101_pair6
1,1-0-26416003Events-9.2min-101_pair10
1,1-0-26416003Events-9.2min-101_pair14
1,1-0-26416003Events-9.2min-101_pair21
1,1-0-26416003Events-9.2min-101_pair22
1,1-0-26416003Events-9.2min-101_pair23
1,1-0-26416003Events-9.2min-101_pair25
1,1-0-26416003Events-9.2min-101_pair26
1,1-0-26416003Events-9.2min-101_pair27
1,1-0-26416003Events-9.2min-101_pair28
1,1-0-26416003Events-9.2min-101_pair31
1,1-0-26416003Events-9.2min-101_pair32
1,1-0-26416003Events-9.2min-101_pair34
1,1-0-26416003Events-9.2min-101_pair38
1,1-0-26416003Events-9.2min-101_pair39
1,1-0-26416003Events-9.2min-101_pair40
1,1-0-26416003Events-9.2min-101_pair41
1,1-0-26416003Events-9.2min-101_pair42
0,1-0-100-1Events-71_pair61
0,1-0-26416003Events-8.2min-106-event-38-85_pair24
0,1-0-26416003Events-8.2min-106-event-38-85_pair27
0,1-0-26416003Events-8.2min-106-event-38-85_pair60
0,1-0-26416003Events-8.2min-106-event-38-85_pair63
0,1-0-26416003Events-8.2min-106-event-38-85_pair93
0,1-0-26416003Events-9.2min-101_pair1
0,1-0-26416003Events-9.2min-101_pair5
0,1-0-26416003Events-9.2min-101_pair11
0,1-0-26416003Events-9.2min-101_pair18
