Cluster,Event_ID
2,1-2-26416006Events-87s-50_pair1
2,1-2-26416006Events-87s-50_pair40
1,1-2-26416006Events-87s-50_pair2
1,1-2-26416006Events-87s-50_pair8
1,1-2-26416006Events-87s-50_pair11
1,1-2-26416006Events-87s-50_pair12
1,1-2-26416006Events-87s-50_pair14
1,1-2-26416006Events-87s-50_pair17
1,1-2-26416006Events-87s-50_pair18
1,1-2-26416006Events-87s-50_pair23
1,1-2-26416006Events-87s-50_pair26
1,1-2-26416006Events-87s-50_pair27
1,1-2-26416006Events-87s-50_pair30
1,1-2-26416006Events-87s-50_pair34
1,1-2-26416006Events-87s-50_pair38
1,1-2-26416006Events-87s-50_pair45
1,1-2-26416006Events-87s-50_pair48
1,1-2-26416006Events-87s-50_pair49
3,1-2-26416006Events-87s-50_pair5
3,1-2-26416006Events-87s-50_pair6
3,1-2-26416006Events-87s-50_pair21
3,1-2-26416006Events-87s-50_pair42
3,1-2-26416006Events-87s-50_pair44
4,1-2-26416006Events-87s-50_pair9
4,1-2-26416006Events-87s-50_pair16
4,1-2-26416006Events-87s-50_pair24
