Ratio,Event,Peak_Positions
1:4,1-4-26416009Events-11.5-221-event-45-144_pair51,"[0.5019, 0.5471, 0.5545, 0.6069, 0.6691, 0.6961, 0.7765, 0.7791, 0.8023, 0.8047, 0.8217, 0.8473, 0.9097, 0.9329]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair52,"[0.8351, 0.8731, 0.9157, 0.9743]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair53,"[0.7741, 0.8827]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair54,"[0.7009, 0.7449, 0.8705, 0.9695]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair55,"[0.6117, 0.6813, 0.6839, 0.7155, 0.7973, 0.8633, 0.8791, 0.8925, 0.9109, 0.9207, 0.9365]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair56,"[0.5679, 0.5727, 0.5849, 0.6069, 0.6423, 0.7021, 0.7057, 0.7131, 0.7351, 0.9073]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair57,"[0.8853, 0.8987]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair58,[0.9341]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair59,"[0.6277, 0.6337, 0.6655, 0.6703, 0.6863, 0.6887, 0.6961, 0.7009, 0.7033, 0.7559, 0.8279, 0.8767, 0.9169, 0.9195, 0.9329]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair60,"[0.6301, 0.6337, 0.7363, 0.9011, 0.9195, 0.9657]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair61,"[0.8181, 0.8437]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair62,"[0.5679, 0.6105, 0.7155, 0.7705, 0.9291, 0.9793]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair63,"[0.5165, 0.5739, 0.7351, 0.7497, 0.7521, 0.7643]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair64,"[0.5777, 0.8241]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair65,"[0.6215, 0.6485, 0.6643, 0.7875, 0.8047, 0.8657, 0.8767]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair66,"[0.7351, 0.7643, 0.7729, 0.8853]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair67,"[0.7741, 0.8633, 0.9353]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair68,"[0.9243, 0.9401]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair69,"[0.6557, 0.6997, 0.7509, 0.8181, 0.8633, 0.8731, 0.9073, 0.9365]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair70,"[0.5885, 0.5911, 0.6765, 0.7303, 0.8023, 0.8609, 0.8925, 0.9291]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair71,[0.8119]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair72,"[0.5703, 0.8023, 0.8645]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair73,"[0.4787, 0.4811, 0.6241, 0.9671]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair74,[0.9389]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair75,"[0.7033, 0.7779, 0.8327, 0.9023]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair76,[0.9085]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair77,"[0.7571, 0.8523, 0.8719]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair78,"[0.8181, 0.8327, 0.8803, 0.9401, 0.9451, 0.9499]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair79,"[0.5471, 0.5777, 0.6313, 0.6337, 0.6447, 0.7705, 0.7913, 0.8425, 0.8755]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair80,[0.9451]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair81,"[0.7669, 0.7901, 0.8291, 0.8511, 0.9219, 0.9255, 0.9377]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair82,[0.8535]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair83,"[0.7509, 0.8779, 0.9023, 0.9121, 0.9145, 0.9181, 0.9353]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair84,[0.5287]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair85,"[0.5203, 0.5849, 0.6619, 0.6643, 0.7033, 0.7057, 0.7083, 0.8633, 0.8743, 0.9475]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair86,"[0.8609, 0.8877, 0.8925, 0.9219, 0.9365, 0.9549]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair87,"[0.7547, 0.7741, 0.7779, 0.7863, 0.7887, 0.8473, 0.9059]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair88,"[0.4689, 0.4971, 0.5019, 0.5361, 0.5447, 0.5483, 0.6301]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair89,"[0.8437, 0.9169]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair90,"[0.5325, 0.5545, 0.5923, 0.6045, 0.6265, 0.6595, 0.7631, 0.7657, 0.7741, 0.8705]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair91,"[0.7619, 0.9439]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair92,"[0.4971, 0.5581, 0.6997, 0.7327, 0.7681, 0.8011, 0.8083]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair93,"[0.4457, 0.5263, 0.5581, 0.6167, 0.6569, 0.6935, 0.7583, 0.7741, 0.8559]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair94,"[0.4933, 0.4971, 0.5409, 0.5435, 0.5519, 0.6277, 0.6789, 0.7045]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair95,"[0.8389, 0.8975]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair96,"[0.5069, 0.9073]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair97,"[0.8705, 0.9291, 0.9439, 0.9621]"
