Ratio,Event,Peak_Positions
1:0,1-0-100-1Events-71_pair36,"[0.5627, 0.5707, 0.5915, 0.5927, 0.6085, 0.6219, 0.6829, 0.6885, 0.7269, 0.7855, 0.7867, 0.7879, 0.9699, 0.9735, 0.9783]"
1:0,1-0-100-1Events-71_pair37,"[0.5951, 0.7593, 0.9545, 0.9619, 0.9655, 0.9735, 0.9765, 0.9797]"
1:0,1-0-100-1Events-71_pair38,"[0.5163, 0.5219, 0.6201, 0.6317, 0.6341, 0.7739, 0.7843, 0.7867, 0.9595, 0.9655, 0.9693, 0.9711, 0.9747, 0.9783, 0.9797]"
1:0,1-0-100-1Events-71_pair39,"[0.6005, 0.6061, 0.6159, 0.6495, 0.6671, 0.7073, 0.7099, 0.7129, 0.7189, 0.7263, 0.7293, 0.7617, 0.9607, 0.9649, 0.9765]"
1:0,1-0-100-1Events-71_pair40,"[0.5975, 0.5987, 0.6011, 0.6031, 0.6049, 0.6097, 0.6127, 0.6727, 0.6787, 0.7647, 0.8613, 0.8679, 0.9681, 0.9729, 0.9771]"
1:0,1-0-100-1Events-71_pair41,"[0.5139, 0.5157, 0.5701, 0.5793, 0.5805, 0.5871, 0.6225, 0.6237, 0.6275, 0.6287, 0.6623, 0.6653, 0.9705, 0.9759, 0.9777]"
1:0,1-0-100-1Events-71_pair42,"[0.5835, 0.6073, 0.6135, 0.6799, 0.6843, 0.6873, 0.6897, 0.6933, 0.6959, 0.7751, 0.7769, 0.9675, 0.9711, 0.9747, 0.9777]"
1:0,1-0-100-1Events-71_pair43,"[0.5627, 0.6591, 0.6629, 0.6641, 0.6713, 0.7209, 0.7691, 0.7751, 0.7831, 0.7867, 0.7977, 0.9223, 0.9693, 0.9797]"
1:0,1-0-100-1Events-71_pair44,"[0.7879, 0.9729, 0.9765]"
1:0,1-0-100-1Events-71_pair45,"[0.5731, 0.5755, 0.5817, 0.6257, 0.7147, 0.7209, 0.7263, 0.7275, 0.7349, 0.7409, 0.7441, 0.7495, 0.7757, 0.9705, 0.9765]"
1:0,1-0-100-1Events-71_pair46,"[0.5255, 0.5291, 0.5323, 0.5335, 0.9705, 0.9723, 0.9759, 0.9797]"
1:0,1-0-100-1Events-71_pair47,"[0.5389, 0.5439, 0.5505, 0.5781, 0.6561, 0.7007, 0.7215, 0.7263, 0.7319, 0.7409, 0.8967, 0.9027, 0.9741, 0.9777, 0.9791]"
1:0,1-0-100-1Events-71_pair48,"[0.6159, 0.6317, 0.6329, 0.6373, 0.6501, 0.6647, 0.6763, 0.7117, 0.7215, 0.7233, 0.7245, 0.7275, 0.7721, 0.9649, 0.9747]"
1:0,1-0-100-1Events-71_pair49,"[0.5805, 0.5847, 0.6623, 0.6683, 0.6757, 0.6775, 0.7227, 0.7281, 0.7349, 0.7575, 0.9009, 0.9027, 0.9699, 0.9735, 0.9771]"
1:0,1-0-100-1Events-71_pair50,"[0.5981, 0.6011, 0.6031, 0.6067, 0.6353, 0.6373, 0.6433, 0.7611, 0.7635, 0.7647, 0.8771, 0.8783, 0.8801, 0.8813, 0.9747]"
1:0,1-0-100-1Events-71_pair51,"[0.5463, 0.5523, 0.6103, 0.6513, 0.6579, 0.6659, 0.6689, 0.7593, 0.7679, 0.8509, 0.8795, 0.8807, 0.8857, 0.9687, 0.9791]"
1:0,1-0-100-1Events-71_pair52,"[0.5493, 0.5529, 0.6091, 0.6665, 0.6719, 0.6775, 0.9667, 0.9717, 0.9771, 0.9797]"
1:0,1-0-100-1Events-71_pair53,"[0.5859, 0.5975, 0.6219, 0.6237, 0.6597, 0.6739, 0.7073, 0.7123, 0.7135, 0.7325, 0.7733, 0.7763, 0.9693, 0.9771]"
1:0,1-0-100-1Events-71_pair54,"[0.5499, 0.5787, 0.5799, 0.6165, 0.6207, 0.6617, 0.6641, 0.6659, 0.7647, 0.9613, 0.9625, 0.9675, 0.9711, 0.9753, 0.9791]"
1:0,1-0-100-1Events-71_pair55,"[0.6641, 0.6683, 0.6701, 0.6733, 0.7215, 0.7257, 0.7275, 0.7299, 0.7373, 0.7709, 0.9625, 0.9643, 0.9675, 0.9729, 0.9759]"
1:0,1-0-100-1Events-71_pair56,"[0.4937, 0.6043, 0.6555, 0.6567, 0.6995, 0.7611, 0.7629, 0.9687, 0.9747]"
1:0,1-0-100-1Events-71_pair57,"[0.5841, 0.5877, 0.5895, 0.6403, 0.6475, 0.6829, 0.6843, 0.7635, 0.7647, 0.9741, 0.9777]"
1:0,1-0-100-1Events-71_pair58,"[0.6585, 0.6653, 0.6915, 0.7159, 0.7801, 0.8173, 0.8245, 0.8307, 0.8361, 0.9553, 0.9649, 0.9687, 0.9717, 0.9771, 0.9791]"
1:0,1-0-100-1Events-71_pair59,"[0.6989, 0.7055, 0.7093, 0.7147, 0.7281, 0.8771, 0.9039, 0.9613, 0.9631, 0.9693, 0.9759, 0.9797]"
1:0,1-0-100-1Events-71_pair60,"[0.5689, 0.5933, 0.7067, 0.7081, 0.7093, 0.7111, 0.7123, 0.7159, 0.7215, 0.7263, 0.7617, 0.7709, 0.9705, 0.9735, 0.9771]"
1:0,1-0-100-1Events-71_pair61,"[0.5291, 0.5303, 0.5359, 0.5419, 0.5439, 0.6201, 0.7239, 0.7251, 0.7269, 0.7331, 0.7367, 0.9205, 0.9217, 0.9289, 0.9759]"
1:0,1-0-100-1Events-71_pair62,"[0.5187, 0.5201, 0.5285, 0.5297, 0.5323, 0.6543, 0.6623, 0.6641, 0.7239, 0.7313, 0.7721, 0.7745, 0.9661, 0.9723, 0.9753]"
1:0,1-0-100-1Events-71_pair63,"[0.6231, 0.6243, 0.6293, 0.6305, 0.6335, 0.6763, 0.6781, 0.7105, 0.7209, 0.7269, 0.7281, 0.7715, 0.7733, 0.7745, 0.9735]"
1:0,1-0-100-1Events-71_pair64,"[0.6263, 0.6305, 0.6323, 0.6353, 0.6659, 0.6683, 0.6811, 0.7123, 0.7739, 0.7763, 0.7813, 0.7861, 0.8605, 0.9717, 0.9771]"
1:0,1-0-100-1Events-71_pair65,"[0.6733, 0.6745, 0.7117, 0.7141, 0.7171, 0.7471, 0.7593, 0.7617, 0.9667, 0.9747, 0.9783]"
1:0,1-0-100-1Events-71_pair66,"[0.6977, 0.7659, 0.9661, 0.9687, 0.9723, 0.9771]"
1:0,1-0-100-1Events-71_pair67,"[0.4895, 0.6177, 0.7941, 0.7977, 0.8021, 0.8069, 0.8099, 0.8185, 0.9747, 0.9797]"
1:0,1-0-100-1Events-71_pair68,"[0.5755, 0.5781, 0.5805, 0.9595, 0.9643, 0.9655, 0.9675, 0.9711, 0.9747, 0.9777]"
1:0,1-0-100-1Events-71_pair69,"[0.5597, 0.5609, 0.5621, 0.9729, 0.9791]"
1:0,1-0-100-1Events-71_pair70,"[0.6445, 0.6597, 0.6983, 0.6995, 0.7007, 0.7099, 0.7337, 0.7367, 0.7409, 0.7421, 0.9741, 0.9777]"
1:0,1-0-100-1Events-71_pair71,"[0.5853, 0.6085, 0.6097, 0.6135, 0.6817, 0.8227, 0.8313, 0.8387, 0.8503, 0.8557, 0.9271, 0.9381, 0.9399, 0.9777, 0.9791]"
