Ratio,Event,Peak_Positions
1:0,1-0-26416003Events-9.2min-101_pair54,"[0.5837, 0.7339, 0.7877]"
1:0,1-0-26416003Events-9.2min-101_pair55,"[0.5741, 0.6119, 0.6521, 0.7523, 0.9731]"
1:0,1-0-26416003Events-9.2min-101_pair56,"[0.3811, 0.5289, 0.5569, 0.7157, 0.7511, 0.9743]"
1:0,1-0-26416003Events-9.2min-101_pair57,"[0.5727, 0.6375, 0.6887, 0.7937, 0.7987, 0.8011, 0.9573, 0.9769]"
1:0,1-0-26416003Events-9.2min-101_pair58,"[0.5727, 0.6449, 0.6863, 0.7547, 0.7607, 0.9793]"
1:0,1-0-26416003Events-9.2min-101_pair59,"[0.4751, 0.6155, 0.6179, 0.6217, 0.6253, 0.7291, 0.7473, 0.9757]"
1:0,1-0-26416003Events-9.2min-101_pair60,"[0.4947, 0.5399, 0.5813, 0.6911, 0.9793]"
1:0,1-0-26416003Events-9.2min-101_pair61,"[0.4641, 0.4727, 0.5167, 0.5875, 0.7363, 0.7401, 0.9695, 0.9719, 0.9793]"
1:0,1-0-26416003Events-9.2min-101_pair62,"[0.5265, 0.5765, 0.9537, 0.9743]"
1:0,1-0-26416003Events-9.2min-101_pair63,"[0.8315, 0.9743]"
